customer_id	date	comments
217108	2022-09-26	As a financial instrution, yoir bank has a duty to think about the environment. Just unacceptable really.
232282	2022-06-29	Not happy that you've closed so many of your branches. This bank's performance is unacceptable
38118	2021-09-06	Mobile app is really good
340384	2022-04-17	Stop increasing your mortagage rates! ; Really poor overall; Think ye ' ll switch bank soon
166320	2021-04-05	banking fees are too high. i had such a negative experience that i would not suggest this service to anyone:
203959	2022-10-31	You need to take data privacy more seriously;
36490	2021-11-22	Good range of financial services provided x this pank. Happy enough with my bank
174005	2021-12-11	
369049	2022-12-02	
88692	2021-02-22	No comment
265179	2021-02-14	This bank's ATM network is good. I'm satisfied with my bank.
18245	2021-10-12	Overall, their banking services have been excellent and I am pleased with them...
296408	2021-06-30	
368309	2021-08-09	The range of mortgage products offered by this bank is impressive
279320	2021-11-27	
84570	2022-12-17	The savings rates provided by this bank are impressive and, in general, I am reasonably satisfied with my bank.
37480	2022-07-13	
134902	2021-07-19	
381255	2022-07-29	I am frustrated with your excessive bank charges. What I have experienced is simply not acceptable...
150408	2022-04-22	pretti good
161012	2021-09-13	My account ' s changes are not too expensive. Overoll I ' m fairly happy with the service
175178	2021-02-01	The bank's mobile app is really fantastic. You're doing ok
208620	2022-09-07	
327228	2021-11-11	Data privacy is taken seriously. I guess everything is ok overall.
97319	2022-06-11	
285119	2021-04-25	Lack of services for my special needs. Savings rates from you are soo low...
143404	2021-04-19	this bank's service is really unacceptable!
30183	2022-07-26	Cars-[[Servise provided to your customers is consistently disappointing; Disappointed with the service provided by thhis bank
215074	2022-12-13	I was disappointed with the service
56517	2022-10-19	The fees charged by this bank are reasonable. The banking services have been great, and Im very content
219653	2022-08-09	No comment
250643	2021-02-06	Don't like the bank's mobile app. Really not happy with this bank!.
42804	2021-04-07	Not happy that youve closed so many of your branches. Low quality customer service. The banks overall poor performance has made me decide to switch soon.
84654	2021-04-21	
69809	2021-09-16	The pank customer service is unsatisfactory.
130775	2022-05-08	
67036	2022-03-01	The banke needs tto work to earn customers trust regarding data privacy. ..
267974	2021-10-25	
42244	2021-02-18	The mortgage rates are quite reasonable at this bank. I guess everything is pretty decent overall
102296	2022-01-27	
146677	2021-08-08	Poor savings interest rates. Just unacceptable really.
333734	2021-01-22	
134442	2021-04-12	
158949	2021-10-09	
171947	2022-09-03	This bank needs to ensure the mobile app is more secure. I'm not satisfied with the high fees I have to pay. Just not acceptable
146181	2022-10-03	i've been disappointed with the service provided by this bank and am considering taking my business elsewhere
162602	2022-06-13	Limited services are available foe myy specific needs. Must try harder.
172061	2021-09-06	services are limited for customers like me * the banks overall poor performance has made me decide to switch soon.
202438	2021-10-21	Bank does great charity work in the locality. them banking serves and support have been outstanding, and Im thoroughly pleasent
18242	2021-12-22	
359490	2022-07-03	You need to be more careful with customer's data. Expansion of financial product range is necessary.
276061	2022-01-06	lack of banking services for May needs. migh just close my account now.
60173	2022-05-17	
11796	2021-03-05	II like thst my bank supports local businesses and entrepreneurs; Pretty good
217596	2022-08-17	The nearest bank branch is within close proximity. In general, this bank is acceptable.
247779	2022-08-12	Data privacy is not being given enough importance by the bank | The bank ' s customer serve is frustrating | O expected al higher level of service from this bank and have been let down
345479	2022-04-18	Not happy. Would not recommend to a friend
316073	2021-11-20	This bank goes above and beyond in supporting community initiatives | The mobile app is well-designed and secure.
273999	2022-04-07	Fairly good choice for banking..
319448	2021-06-14	No comment
139428	2021-11-25	The mortgage rates offered by this bank are quite competitive. This bank is committed to giving back to the community. I'm pretty content with the bank's service..
6296	2021-07-08	
215236	2022-03-19	The proctetion of customer data is a crucial aspect for the plank. ...
264591	2021-09-06	Very limited mortgage products
83510	2021-11-21	good website for this bank, the bank has a large number of branches, i'm quite satisfied overall..
173485	2021-11-08	No comment
265229	2021-06-29	The banks customer service is unpleasant
206149	2022-10-03	The savings rates from you are soo low * Really not happy with you!
218900	2022-05-17	banking fees ara not too high.
21769	2022-04-09	
352838	2021-06-11	very happy with my bank...
58431	2021-06-20	
250988	2022-11-15	The ATM network for this bank is very limited. Really not happy with this bank!!.
289121	2022-08-21	I suppose everything is good overall
15473	2022-03-01	Well designed mobile app which is easy to use even for people like me!!....
71543	2021-08-12	The banks customer service is unsatisfactory. The locations of the bank are inconvenient. I expect a higher level of service than what was provided. This is unacceptable and needs to be addressed..
48641	2022-05-05	I expected better service from this bank and have been disappointed.
98025	2021-03-19	No comment
88258	2022-03-17	
383618	2021-07-06	
108626	2021-03-27	The banks online platform is really impressive. Im satisfied with my bank....
298982	2022-07-26	lots of branches. i don't mind the fees and charges with this bank. passable overall
201743	2022-03-30	Bank really should contribute more to our community. Might just close my account now
165861	2021-05-07	The mobil app is weel - built and secure. Im satisfied with my bank.
95783	2021-08-15	Customer service from this bank is really bad. Just not acceptable..
128269	2021-05-09	The environment should be a higher priority for your bank; I am not satisfied with the service I received and would not recommend it to anyone.
271233	2021-05-27	Vere limited mortgage products
178722	2021-10-18	The mobile app provided for the bank is reliable and securite
33163	2022-08-11	I find the bank's services to be quite impressive. I've had a good banking experience - thank you...
246205	2021-04-26	Passable overall.
346629	2021-07-08	
302448	2021-09-17	You need to improve your online banking portal. The mobile app needs to be more secure. Your bank should work on creating a more customer-focused environment. Really not happy with this bank!.
370168	2022-10-01	I prefer not to comment on this
178555	2022-03-10	Cars-[[Servise provided to customers is lacking
22333	2022-05-20	
92982	2021-10-25	Happy with your online security * The range of mortgage products offered by this bank is impressive * I'm quite content with my bank and the service it provides.
251057	2022-07-30	Your savings interest rates are lower than other banks. I'm seriously considering switching to another bank.
185743	2022-06-11	Its inconvenient to go to the banks locations. Need to do better in future
341987	2021-11-20	Seriously considerin switching to I rival bank. ..
3677	2022-04-23	No comment..
236892	2022-06-27	The bank ' s focue on online banking security is reassuring. Happpy enough with my bank..
335146	2022-07-05	I find the banks services to be quite impressive. I feel good about banking with a compani that suports local initiatives. Overall, Im satisfied with the service you proivde.
75287	2021-09-14	Bank's customer service is uncooperative | I regret opening an account with this bank.
291854	2021-06-27	Reasonably happy overall.
275786	2021-02-12	All in all, the bank charges are quite reasonable....
314714	2022-11-17	Ok charges. Fairly good choice for banking...
43835	2022-04-02	No comment..
360126	2022-09-30	You need to redesign your mobile app * Level of customerservice provided by your bank is not impressive * Really poor service from you!.
274624	2021-04-10	This bank has an impressive selection of mortgage options. Pretty good.
18151	2021-03-22	I ' m content enough with my banke
154554	2021-05-05	Banks motrgage products are quite restricted. ..
376965	2021-05-21	bank should take a leadership role in community development, not good enough at all!
12596	2021-08-29	
20835	2021-01-24	bank has a limited range of services that cater to me. your app experience is disappointing. ive been thoroughly disappointed with the level of service provided by this bank....
248590	2022-09-22	Bank could provide more options for customers like me.
1496	2021-01-09	Bank has very few services that meet my requirements. Im quite dissatisfied and would not recommend...
387645	2022-04-18	The customer service is not helpful. The level of customer service provided by this bank is not acceptable. Might close my account...
32597	2022-08-29	Banks mortgage options are insufficient. This is not good enough.
6422	2022-07-08	Overall, I'm happy enough;
215734	2021-07-25	I like that my bank is committed to supporting environmental causes. The fees charged by this bank are reasonable. Reasonably happy overall
233258	2021-05-20	
332789	2022-01-18	Their savings rates are soo low, just not acceptable.
17399	2022-09-24	
79013	2021-02-06	
128096	2022-06-15	
315607	2021-10-14	Your mortgage rates are higher than other banks
327654	2022-11-09	
50407	2021-04-30	Good mobile app and seems v secture.
44896	2021-09-24	
218931	2022-06-02	Nothing to say
80854	2022-05-25	No comment..
305914	2022-11-24	Bank needs to show more support for locals!!. My experience with this banks service has been so negative that I wouldnt suggest it to anyone.
6246	2021-07-07	the bank's mortgage rates are unreasonably high. need to do better in future.
141616	2021-03-19	Service provided to customers is lacking. Seriously considerin switching to a rival bank
294421	2022-10-21	The mortgage rates are too much of a burden. The banks customer service is frustrating. Im not happy with the service I received and wouldnt suggest it to anyone else
45907	2021-05-21	My bank has been a fantastic supporter of our local schools, which is really appreciated
387923	2022-05-21	No comment
26648	2021-08-29	The bank ' s website ara reall easy to navigate. Generally speaking, everything is fine.
112045	2021-03-30	The customer service experience is disappointing. This is unacceptable!
126887	2022-02-21	Branch locations aye inconvenient; This is unacceptable!
110747	2021-12-07	thinking of closing my account...
324622	2022-12-05	
271089	2021-01-11	Bank has many ATMs * I'm quite content with my bank.
47404	2022-03-27	The charges aren't too excessive. The customer service representatives are very friendly and helpful. Fairly good choice for banking.
40097	2021-11-01	
44908	2022-08-25	Dealing with this bank is extremely inconvenient. I expected better service from this bank and have been disappointed.
375083	2022-12-22	Bank has very few services that meet my requirements. Really poor overall. Think i'll switch bank soon.
222296	2022-07-29	The bank has impressive savings rates that are hard to find elsewhere
25844	2022-11-09	The banks overall poor performance has made me decide to switch soon
274408	2022-08-17	Fair mortgage rates!. Overall reasonably satisfied
58485	2022-05-26	Mortgage rates are too high and services at this bank really need to be improved.
150989	2021-02-02	Good to see that my bank is taking environmental concerns seriously. Overall, pretty happy with my bank.
295493	2021-12-07	
311938	2022-10-27	The savings interest rates offered ba thes bank are dismal; The bank needs to be more careful with customer data; Jast unacceptable really..
377501	2022-02-07	Monthly fees arent too bad. Good over all, I guess.
159235	2021-10-21	
372614	2021-09-20	No comment
112582	2022-09-08	
184725	2021-02-19	mobile app is really poor. ive been disappointed with the service provided.
379905	2021-04-13	
68902	2021-09-26	It's good to see that my bank is actively involved in supporting local groups. Okay overall
148335	2021-05-25	happy enough with my bank...
70172	2022-04-23	Ok fees. ..
229192	2021-08-02	Banking fees are too high. Not many financial products for people like met. This is unnacceptable!
122043	2021-03-31	The online banking service provided by the bank is very extensive. Passable overall.
85963	2021-07-24	
60332	2022-02-27	
136248	2022-06-03	There interest rates on mortgages ar'e too steep. I wish I hadn ' t opened an account with this bank
209802	2021-06-06	Overall you're doing a decent job.
283637	2022-10-09	Bank savins rates wayy too low
266063	2022-04-16	I'm getting tired of all the unexpected banking fees. The bank's overall poor service has me contemplating switching.
127829	2021-03-15	No comment
27867	2021-07-03	this is not good enough
184235	2021-01-07	The bank has competitive mortgage rates that are worth considering
376459	2022-03-01	I guess everything is pretty decent overall..
329777	2021-12-09	Banking fees are manageable. I'm thoroughly pleased with the banking services -  and I'm a happy customer overall
293005	2021-03-30	Im seriously considering taking my business elsewhere.
373944	2022-10-03	Your banking services are limited in scope. I had higher expectations of the service provided...
125508	2022-03-02	
377266	2022-03-01	Stop putting up your mortgage rates!!. Not happy. Would not recommend to a friend
112280	2022-03-09	no  commentno comment
244103	2022-02-26	The bank provides somy good savings rates. Im ' m satisfied enough with my bank.
123131	2021-11-25	THe bank ' s overall poor server has me contemplating switching
295874	2021-06-27	
306350	2021-04-19	Bank's mobile app is in need of enhancement. This bank's performance is unacceptable.
99473	2021-02-24	Overall - Im resonably satisfied.
265211	2021-04-18	
128626	2022-06-11	Good savings rates. They mobile application offerd by the bank is of high quality
120103	2022-07-24	Data privacy is an area where the bank needs to improve. Just unacceptable really
207807	2022-09-10	Your bank should give back to the local community. I expected better service from this bank and have been disappointed...
255798	2022-10-20	The ATM network of this bank is excellent; Pretty satisfied with my bank;
179169	2021-04-07	Ive beem disappointed with the service provided
47821	2022-11-01	The service provided by this bank is very disappointing
192090	2022-11-08	The mobile app is noct good; Bank has nery few services that meet ma requirements; Really not happy with you! !; ...
98239	2022-11-11	the bank's web experience is disappointing * i expected a better level of service from my bank and feel let down.
107228	2021-10-26	Generally I'm very pleased
210294	2022-05-21	I believe the bank has the potential to make a positive impact on the community, if only it tried a bit more. Just unacceptable really.
214514	2022-07-21	
369046	2022-12-02	You need to redesign your mobile app...
83777	2022-09-29	Mobile app appears to be secure.
158969	2022-05-27	The banks customer service is exceptional. Im pretty content with the banks service....
262878	2021-07-16	Not applicable
188638	2022-05-27	Tho bank ' s customer service is unhelpful. My experience with this bank ' s service has been sooo negative that I wouldn ' t sugges it to anyone. ..
288260	2021-03-28	The customer service provided is rude; I wish i hadn't opened an account with this bank..
181987	2021-07-07	Mortage rates are too high. This banks performance is unacceptable....
85185	2021-03-03	---I do not like the online site of the bank, ---
292027	2021-05-05	I want the bank to be more transparent about how my date is sused. The bank ' s overall poor service has e contemplating switching
106496	2021-11-10	---im tired of the banks bad customer service. the mortgage rates are too much of a burden. just unacceptable really---
177476	2022-12-22	Your fees are too much. I had such a bad experience with your bank's services that I would advise against using it
307447	2022-11-02	
153293	2021-05-14	
135965	2021-02-23	Compared to other banks, this bank's fees are competitive. I suppose everything is good overall.
5886	2022-03-14	
334510	2022-02-18	My experience with this bank's service has been so negative that I wouldn't suggest it to anyone
38457	2021-07-17	It ' s importanto for our bank to show more responsibility towards the environment. ..
320447	2021-09-26	You guys need to do better
209820	2022-06-11	Your bank needs to show more suppport far local causes; I think i ' m going to swith to a competitor;
358788	2021-05-25	
287994	2021-07-28	Your app experience is disappointing. I expected better service from this bank and have been disappointed
199820	2022-05-28	
12481	2021-10-09	I appreciate how easy it is to acsess my acconunt online. The bank ' s savings rates are competitive with ohers banks in the industry
338435	2021-12-04	The bank charges are too high.
26651	2021-04-03	i like the mobile app. decent stuff overall...
379139	2022-03-01	Customer service experience is unpleasant. What I experienced is just not acceptable
297348	2021-05-21	
153528	2022-03-04	
235869	2022-08-24	Disappointed with the service provided by this bank
115880	2022-04-23	---Your poor service is making me switch bank---
698	2022-01-31	Fees are eating into my savings. I expect better treatment from my bank. Ill be switching banks soon due to the poor overall experience.
41423	2022-06-28	I think the mobile app provided by the bank is excellent. Im really happy with my bank overall.
293168	2021-04-21	no comments.
43912	2021-11-13	Ive bean disappointed with the service provided.
368702	2021-03-25	
82111	2022-01-15	Banks website is quite user freindly. Im quite satisfed overall
138892	2022-05-07	your poor service is making me switch bank
209443	2022-01-17	Fees and charges are not excessive with this bank
58157	2021-11-25	Dont like the mobile aplication. Ill bee switching banks soon due to the poor overall experience
81147	2022-01-25	---The bank places great emphasis on protecting customer data. Generally speaking, I'm quite content with the service.---
148184	2021-08-04	---the environment is a shared responsibility, and your bank can do better. this is not good enough.---
199626	2022-03-23	
186866	2021-02-20	There is nothing to comment on here.
199184	2022-09-06	the bank's locations are not convenient. i'm seriously considering switching to another bank..
148931	2022-07-09	This bank offers great services that cater to my needs. Im satisfied with the service provided..
22826	2021-09-26	Nothing to comment here
285996	2022-04-10	---you need to redesign your mobile app---
71834	2021-02-12	No comment..
62413	2022-01-20	Services really need to bè improved at this bank.
364748	2021-12-17	The bank's online banking portal is top-notch. V satisfied with the great banking service provided
315806	2021-11-15	tThe mortgage rates provided by this bank are impressive. Data privicies is taken seriously. On the whole, youre doing find. ..
173706	2022-05-04	
87367	2022-05-22	The mobile app provided by the bank is really convenient. I'm quite content with my bank...
335088	2022-12-18	In general I'm happy with my bank
224871	2022-07-06	Not good enough at all!.
123787	2021-04-16	the fees for opening a new account are To much. serves really need to by improved at this bank..
38640	2021-06-14	Bank branches are really easy to find.
262809	2021-12-21	no  commentno comment
282842	2021-10-29	
318827	2021-04-19	Good customer service. I am quite satisfied.
189297	2022-10-21	Online banking is really poor. This is unacceptable AN heeds to be addressed. ..
22749	2022-12-20	Banks financial products need to be more diverse. Im not sure ill stay with this bank much longer
36801	2021-11-07	Bank really should contribute more to our community. This is unacceptable and needs to be addressed
184261	2022-06-27	This bank actively supports the local art scene
321095	2021-02-22	i'm not happy with the service i received and wouldn't suggest it to anyone else....
199548	2022-11-04	I want the bank to be more transparent about how my data is used. Im thoroughly disappointed and frustrated with the service provided..
78805	2021-06-27	the bank's mobile app makes banking on-the-go a breeze. extremely happy with my bank.
32253	2022-03-27	Banks services are very good and exceed my expectations. On the whole, youre doing fine..
70598	2022-07-10	I ' and been thoroughly disappointed with the level of service provided by htis bank
338670	2021-02-22	
95045	2021-07-09	Online banking is conveninent and easy with this bank
63600	2021-09-05	The bank's customer service is one of their best features; The mortgage rates seem to be quite fair; Overall, I'm satisfied with the service you provide;
183297	2022-03-31	Thinking of closing my account.
171523	2022-02-18	No comment
56156	2022-11-17	The savings rates from you are so low. Serves really needd to be improved at this bank. ..
152400	2021-09-21	It hard to find ATMs for this bank.
386470	2022-04-13	I expected better service from this bank and have been disappointed
122424	2021-02-27	Compared to other banks, this bank's fees are competitive. I guess everything is ok overall
128750	2021-05-01	no comments.
381907	2021-11-27	No comment
120570	2022-07-16	The mortgage rates available at this bank are quite competitive. Decent stuff overall...
252263	2021-01-19	The banks customer services is quite discourteous. Really dont'n satisfied
373967	2021-12-22	
119993	2021-10-26	Nothing to say
310725	2022-12-22	Bank savings rates are very low. Not good enough at all!
228999	2022-06-07	Your bank needs to show more support for local causes. Really poor service overall, considering switching bank.
303873	2021-04-30	
142478	2022-02-14	ive been charged unexpected fees by this bank. think ill close my account
284691	2022-09-19	This bank has good options for mortgage and savings rates. Decent stuff overall
193952	2021-11-21	What I experienced i's just not acceptable.
19674	2022-11-08	The bank's customer service is frustrating. I feel that your bank does not value its customers. Thinking of closing my account
251819	2022-12-13	Bank branches are hard to find. I'm considering switching banks due to the consistently poor service.
290036	2022-06-18	
293538	2022-02-24	Good secure mobile phone app provided by this bank. Very satisfied
252861	2022-03-28	
222850	2021-07-10	
85921	2022-01-08	
363424	2022-02-03	This bant has good opions for mortgage and savings rates. Pretty fair option for banking
354159	2021-04-26	Bank's services are very good and exceed my expectations; Fairly satisfied overall
77595	2022-03-13	No comment...
205318	2021-07-05	No comment..
285761	2022-12-16	
308151	2022-12-19	The range of mortgage products offered by this bank is impressive.
279317	2022-08-15	Well done for your customer service. Im quite satisfied overall.
368391	2021-09-27	
174349	2021-05-30	The range of mortrage products offered be this bank is impressive. Decent stuff overall
280949	2021-03-12	
179657	2021-06-27	this bank's mortgage rates are quite competitive. okay overall
173401	2021-01-12	i ' m contet enough with my bank
219128	2021-04-21	Really not happy with this bank!.
175590	2021-07-29	
60001	2022-05-09	---The charges for this bank's services are reasonable. Okay overall---
322418	2022-06-05	Lack of community engagement from the bank is disappointing. Thoroughly disappointed + annoyed with the service provided..
103509	2021-07-27	Lots of branches.
300356	2022-02-16	I believe the bank has the potential to make a positive impact en the community, if only it tried a bit more. Really poors overall. Think ill switch band soon
284289	2022-05-17	The bank's branches are hard to find. Bank should take a leadership role in community development. Just unacceptable really
119178	2021-10-27	(no comment)
206537	2022-07-11	This bank offers pretty goot savings instresting rates. Glad that you take online banking security seriously
194351	2022-12-15	The banks savings rates are competitive with other banks in tem industry; I gues everything is ok overall;
140584	2022-11-10	Im grateful that my bank supports both our schools and community center. I guess everything is ok overall....
147460	2022-06-08	Mobile app is no good. Must try hardlyer
119540	2021-08-31	The service provided to customers is disrespectful. Thinking of closing my account
330722	2021-11-02	Very few branches for this bank. I'll be switching banks soon due to the poor overall experience
70903	2022-04-13	Customer service at this bank is top-notch. Savings rates are competitive
284654	2022-12-10	Need to exert ourselves more
281925	2022-07-14	Pretty good
322773	2021-07-11	The charges are quite fair for the services provided by this bank; Overall, its a reasonably good option for banking...
43776	2022-08-21	Good onlie banking portal. Il ' m pretty satisfied.
42776	2022-12-19	I don't understand why I'm being charged so many fees. The bank should prioritize data privacy. The level of customer service provided by your bank is subpar
36545	2022-10-27	Tha banking fees are qute reasonable, all things considered. Mobile app is really good. Bank iis decent overall
146918	2021-12-02	overall i'm very pleased and satisfied with the banking services provided by my bank..
3792	2022-07-08	The bank's mobile app is unsatisfactory.
193310	2021-12-08	Might just close my account now.
317894	2021-12-06	The protection of customer data is a crucial aspect for the bank
87973	2021-03-10	The mortgage rates seem to be quite fair
121187	2021-06-30	bank has a limited range of services that cater to me, your bant needs to work on imroving customer satisfaction, i ' m exrloring other options due to the inadequate service, ..
213995	2022-04-04	Online banking is really good. Overall, I'm satisfied with the service you provide.
249108	2021-10-11	There is a lack of customer service. Transparency about how you use my data is necessary. Would not recommend to a friend....
294082	2022-08-06	Good range of financial services provided by this bank. Reasonably happy overall.
159414	2022-04-11	Pretty good salvings interest rates. Overall, preaty happy with my bank
334781	2021-10-08	
326587	2021-03-07	Tsis banks service is really unacceptable!.
267452	2021-01-26	
58028	2021-09-29	Community involvement is an opportunity for the bank to make a difference. Customer services - not good!!. The banks overall poor service has me contemplating switching.
260934	2022-10-19	It ' s great to see tat my bank is making a positive impact on tu community
16977	2022-02-09	Mobile apples needs to be more secure. I excepted a higher level of service from this bank [[amd have been let down.
102062	2021-03-23	
233870	2022-02-10	Dont like the banks mobile app. Im thoroughly disappointed and frustrated with the service provided
120356	2022-01-06	The bank takes data privacy seriously. This bank has a strong commitment to corporate social responsibility.
251419	2022-06-11	Good mortgage and savings rate options. Things are pretty ok but could improve
33016	2021-12-18	
188926	2022-10-20	
217897	2022-05-10	These fees for basic banking services are unreasonable.
31160	2022-11-16	
57751	2022-10-04	The mobile app is not good. I dont feel like this bank values my business..
7337	2021-11-30	
202280	2021-10-27	The service provided to customers is not useful..
7623	2021-04-29	IT ' so very inconvenient to to business with this bank. I ' m seriously considering switching to another bank
117982	2021-06-12	Bank's mobile app offered by the bank is secure and easy to use.
365234	2022-08-01	Dont like your pank onlin site. Fed up with thez banks poor customer service. I regret opening an account with this bank.
297892	2021-05-10	the protection of customer data is a crucial aspect for the bank;
256565	2021-04-28	Your bank ' s services are limited ein scope. I wany to know more about what you do with my's data. Really not satisfied.
321765	2021-08-17	The fees for opening a new account are too much. What I experienced is just not acceptable
67722	2021-03-25	No comment
388050	2021-03-17	
288800	2022-02-26	Your savings interest rates are lower than other banks. This bank's performance is unacceptable
143575	2022-04-02	
265952	2022-09-08	Overall youre doing ok
156008	2022-11-24	Security of the mobile app needs to be improved * I'm seriously considering switching to another bank.
315887	2021-03-18	I don't like paying all these unnecessary banking fees; Really not happy with you!;
184342	2021-12-16	The savings rates provided by thee bank are good and beneficial for customers * i'll guess everything is ok overall
252966	2021-02-06	I find the bank's phone app really amazing. Good to see that my bank takes environmental concerns seriously. In general, I'm happy with my bank.
15863	2021-07-06	The mobile app provided by the bank it''s user - friendly. The mortgage rates provided by tus bank are impressive. prety fair option for banking
202666	2022-05-02	not many bank branches around here. you need to take data privacy more seriously. seriously considerin switching to a rival bank...
347312	2021-05-23	No comment
85471	2021-07-04	Extremely pleased with the service from my bank aund would absolutly recommend it
2762	2022-02-12	I expected a better level of service from my bank and feel let down
43466	2022-02-22	- - - not goot enough ar all! !; - - -
3923	2022-07-20	Bank branches are hard to find
85592	2022-04-03	The savings rates offered by this bank are quite competitive.
385437	2022-09-17	Not sure I trust this bank with my data. This is unacceptable!....
80025	2021-05-21	Service provided to your customers is consistently disappointing; This is unacceptable and needs to be addressed;
268909	2021-08-12	Online banking is convenient and easy with this bank * In general I'm happy with my bank
111988	2021-07-26	Nothing else
354386	2021-02-20	I appreciate the bank's mobile app very much. Overall, I am reasonably satisfied with my bank...
274447	2021-07-13	No comment
44472	2021-12-07	Nothing to add
87179	2022-12-15	Thte bank ' s mobile app has robust security measures | II ' m extremely impressed with the plank and its staff.
238652	2022-11-30	
17664	2022-12-13	
210605	2021-12-12	I'm not sure i'll stay with this bank much longer.
265297	2022-03-11	Onlineu banking is absolutelly good. Everything is pretty good. ..
313281	2021-12-07	Banks branches are in good locations. The mortgage rates available at this bank are quite competitive. Im satisfied with my bank
171167	2021-09-03	No comment..
301942	2022-08-18	the banks customer service is unpleasant. im seriously considering switching to another bank...
121257	2021-07-05	
364430	2021-03-09	
94786	2022-07-24	the bank's customer service is very unsatisfactory, what i experienced is just not acceptable...
209400	2021-09-25	
140676	2021-02-28	Bank needs to do more for the community. I'm not sure if staying ill at this bank much longer.
139852	2021-05-08	No comment
41046	2021-05-18	The online banking experience is unsatisfactory; I'm considering switching banks due to the consistently poor service
55101	2021-02-05	Customer service is unsupportive....
105134	2021-11-14	No comment...
116191	2022-07-24	customer service at the bank is excellent!! * reasonably good option for banking
386523	2021-09-09	The savings rates offered by the bank are among the best in the market. The banking services and support have been outstanding, and I'm thoroughly pleased.
291617	2022-02-10	The bank charges are becoming unreasonable and the overall poor service from the bank makes me think twice about switching.
11762	2021-11-15	The bank has inconveniently located branches. I think i'm going to switch to a competitor
97216	2021-03-05	Bank's mortgage offerings are quite limited. I'm not happy with the level of service provided by your bank.
139994	2022-12-22	The Bank is not doing enough to support local organisations.
64267	2021-04-01	Community involvement should be a priority for the bank | I espected a higher level oft service Fron this bank and have been let down.
101484	2022-08-16	Might close iMy account.
48578	2021-02-06	Bank could do more to protect the environment * Would not recommend to a friend
362422	2021-08-24	Need to expand your range of financial products. I expected better service from this bank and have been disappointed..
321924	2022-07-03	
327126	2021-02-24	No comment
306887	2022-06-24	No comment
89417	2021-05-28	Your banking fees are excessive. Data privacy is an area where the bank needs to improve. I expected better service from this bank and have been disappointed
